Contract ID,Customer ID,Existing Customer,Vehicle ID,Product ID,Price,Monthly EMI,Lease Start Date,Lease Expiry Date,Road Assistance,Maintenance,Discount Applied,Preferred Customer,Summary
C0001,1020,No,V1007,P1000,2248520.0,52093.3,2025-02-05T00:00:00Z,2029-02-05T00:00:00Z,No,Yes,No,No,"Contract C0001 for 1020 leasing Vehicle V1007 under Product P1000 with a monthly EMI of €52093.3. Lease runs from 2025-02-05 to 2029-02-05. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No."
C0002,1013,No,V1035,P1013,2327465.0,71832.31,2024-06-18T00:00:00Z,2027-06-18T00:00:00Z,No,Yes,No,No,"Contract C0002 for 1013 leasing Vehicle V1035 under Product P1013 with a monthly EMI of €71832.31. Lease runs from 2024-06-18 to 2027-06-18. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No."
C0003,1001,No,V1023,P1000,2536080.0,60093.41,2023-12-19T00:00:00Z,2027-12-19T00:00:00Z,No,Yes,No,No,"Contract C0003 for 1001 leasing Vehicle V1023 under Product P1000 with a monthly EMI of €60093.41. Lease runs from 2023-12-19 to 2027-12-19. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No."
C0004,1006,No,V1075,P1005,3024240.0,68324.42,2024-08-28T00:00:00Z,2028-08-28T00:00:00Z,No,Yes,No,No,"Contract C0004 for 1006 leasing Vehicle V1075 under Product P1005 with a monthly EMI of €68324.42. Lease runs from 2024-08-28 to 2028-08-28. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No."
C0005,1005,No,V1053,P1019,1403570.0,42359.56,2023-04-11T00:00:00Z,2026-04-11T00:00:00Z,No,Yes,No,No,"Contract C0005 for 1005 leasing Vehicle V1053 under Product P1019 with a monthly EMI of €42359.56. Lease runs from 2023-04-11 to 2026-04-11. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No."
C0006,1013,Yes,V1005,P1019,2042495.0,61476.13,2024-11-25T00:00:00Z,2027-11-25T00:00:00Z,No,Yes,No,Yes,"Contract C0006 for 1013 leasing Vehicle V1005 under Product P1019 with a monthly EMI of €61476.13. Lease runs from 2024-11-25 to 2027-11-25. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0007,1006,Yes,V1005,P1000,2334280.0,55850.6,2025-08-29T00:00:00Z,2029-08-29T00:00:00Z,No,Yes,No,Yes,"Contract C0007 for 1006 leasing Vehicle V1005 under Product P1000 with a monthly EMI of €55850.6. Lease runs from 2025-08-29 to 2029-08-29. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
C0008,1009,No,V1005,P1016,1167140.0,54130.17,2022-09-08T00:00:00Z,2024-09-08T00:00:00Z,No,Yes,No,No,"Contract C0008 for 1009 leasing Vehicle V1005 under Product P1016 with a monthly EMI of €54130.17. Lease runs from 2022-09-08 to 2024-09-08. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No."
C0009,1008,No,V1039,P1005,2694360.0,63853.4,2024-03-23T00:00:00Z,2028-03-23T00:00:00Z,No,Yes,No,No,"Contract C0009 for 1008 leasing Vehicle V1039 under Product P1005 with a monthly EMI of €63853.4. Lease runs from 2024-03-23 to 2028-03-23. Road Assistance: No, Maintenance: Yes, Discount Applied: No, Preferred Customer: No."
C0010,1001,Yes,V1015,P1009,7106.55,652.54,2023-01-20T00:00:00Z,2024-01-20T00:00:00Z,Yes,Yes,No,Yes,"Contract C0010 for 1001 leasing Vehicle V1015 under Product P1009 with a monthly EMI of €652.54. Lease runs from 2023-01-20 to 2024-01-20. Road Assistance: Yes, Maintenance: Yes, Discount Applied: No, Preferred Customer: Yes."
