Summary,Vehicle ID
"Country: India, Make: Nissan, Model: Leaf (EV), Year: 2018, Mileage: 5.8 kmpl, Fuel: EV, Gear: Manual, Horsepower: 349, Price: 61334 INR, Preowned: Yes",V1000
"Country: UK, Make: Honda, Model: CR-V, Year: 2024, Mileage: 7.0 kmpl, Fuel: Diesel, Gear: Manual, Horsepower: 241, Price: 45429 GBP, Preowned: No",V1001
"Country: India, Make: Hyundai, Model: Ioniq 5 (EV), Year: 2020, Mileage: 7.3 kmpl, Fuel: EV, Gear: Manual, Horsepower: 453, Price: 25776 INR, Preowned: No",V1002
"Country: USA, Make: Honda, Model: Civic, Year: 2014, Mileage: 13.0 kmpl, Fuel: Diesel, Gear: Automatic, Horsepower: 431, Price: 33607 USD, Preowned: Yes",V1003
"Country: UK, Make: Volkswagen, Model: Tiguan, Year: 2009, Mileage: 4.3 kmpl, Fuel: EV, Gear: Manual, Horsepower: 292, Price: 31668 GBP, Preowned: No",V1004
"Country: France, Make: Honda, Model: Civic, Year: 2006, Mileage: 3.4 kmpl, Fuel: EV, Gear: Automatic, Horsepower: 400, Price: 72152 EUR, Preowned: No",V1005
"Country: France, Make: Hyundai, Model: Sonata, Year: 2018, Mileage: 3.2 kmpl, Fuel: EV, Gear: Automatic, Horsepower: 566, Price: 62260 EUR, Preowned: No",V1006
"Country: UK, Make: Volkswagen, Model: Golf, Year: 2007, Mileage: 10.1 kmpl, Fuel: Hybrid, Gear: Automatic, Horsepower: 122, Price: 73552 GBP, Preowned: No",V1007
"Country: India, Make: Volkswagen, Model: Golf, Year: 2016, Mileage: 9.6 kmpl, Fuel: Diesel, Gear: Manual, Horsepower: 436, Price: 32759 INR, Preowned: No",V1008
"Country: France, Make: Volkswagen, Model: Tiguan, Year: 2016, Mileage: 5.3 kmpl, Fuel: Diesel, Gear: Automatic, Horsepower: 354, Price: 46638 EUR, Preowned: Yes",V1009
"Country: UK, Make: Toyota, Model: Corolla, Year: 2015, Mileage: 12.7 kmpl, Fuel: Petrol, Gear: Automatic, Horsepower: 116, Price: 60705 GBP, Preowned: No",V1010
"Country: India, Make: Honda, Model: Fit, Year: 2009, Mileage: 7.6 kmpl, Fuel: EV, Gear: Automatic, Horsepower: 536, Price: 62649 INR, Preowned: No",V1011
"Country: France, Make: Honda, Model: Fit, Year: 2021, Mileage: 3.8 kmpl, Fuel: EV, Gear: Manual, Horsepower: 270, Price: 59940 EUR, Preowned: Yes",V1012
"Country: USA, Make: Ford, Model: Focus, Year: 2018, Mileage: 7.8 kmpl, Fuel: EV, Gear: Automatic, Horsepower: 533, Price: 52907 USD, Preowned: No",V1013
"Country: India, Make: Nissan, Model: Maxima, Year: 2008, Mileage: 16.0 kmpl, Fuel: Hybrid, Gear: Manual, Horsepower: 181, Price: 52320 INR, Preowned: No",V1014
"Country: France, Make: Ford, Model: Fusion, Year: 2013, Mileage: 4.5 kmpl, Fuel: EV, Gear: Manual, Horsepower: 445, Price: 30741 EUR, Preowned: Yes",V1015
"Country: USA, Make: Honda, Model: Civic, Year: 2017, Mileage: 7.4 kmpl, Fuel: EV, Gear: Automatic, Horsepower: 321, Price: 76531 USD, Preowned: Yes",V1016
"Country: France, Make: Nissan, Model: Leaf (EV), Year: 2005, Mileage: 4.7 kmpl, Fuel: EV, Gear: Manual, Horsepower: 248, Price: 72082 EUR, Preowned: Yes",V1017
"Country: USA, Make: Volkswagen, Model: Golf, Year: 2020, Mileage: 13.7 kmpl, Fuel: Petrol, Gear: Automatic, Horsepower: 265, Price: 46328 USD, Preowned: No",V1018
"Country: France, Make: Volkswagen, Model: ID.4 (EV), Year: 2013, Mileage: 5.8 kmpl, Fuel: EV, Gear: Manual, Horsepower: 514, Price: 48966 EUR, Preowned: No",V1019
"Country: UK, Make: Toyota, Model: Corolla, Year: 2014, Mileage: 22.2 kmpl, Fuel: Hybrid, Gear: Manual, Horsepower: 110, Price: 36531 GBP, Preowned: Yes",V1020
"Country: France, Make: Volkswagen, Model: ID.4 (EV), Year: 2021, Mileage: 6.7 kmpl, Fuel: EV, Gear: Automatic, Horsepower: 597, Price: 56016 EUR, Preowned: Yes",V1021
"Country: USA, Make: Honda, Model: Accord, Year: 2019, Mileage: 6.8 kmpl, Fuel: Hybrid, Gear: Manual, Horsepower: 173, Price: 25514 USD, Preowned: No",V1022
"Country: India, Make: Volkswagen, Model: ID.4 (EV), Year: 2024, Mileage: 3.7 kmpl, Fuel: EV, Gear: Manual, Horsepower: 227, Price: 37171 INR, Preowned: No",V1023
"Country: UK, Make: Ford, Model: Fusion, Year: 2005, Mileage: 7.4 kmpl, Fuel: EV, Gear: Manual, Horsepower: 515, Price: 52499 GBP, Preowned: No",V1024
"Country: USA, Make: Hyundai, Model: Kona, Year: 2009, Mileage: 9.4 kmpl, Fuel: Diesel, Gear: Manual, Horsepower: 328, Price: 65013 USD, Preowned: No",V1025
"Country: UK, Make: Ford, Model: F-150 Lightning (EV), Year: 2022, Mileage: 7.5 kmpl, Fuel: EV, Gear: Automatic, Horsepower: 274, Price: 59682 GBP, Preowned: No",V1026
"Country: India, Make: Nissan, Model: Altima, Year: 2009, Mileage: 16.5 kmpl, Fuel: Hybrid, Gear: Manual, Horsepower: 332, Price: 70267 INR, Preowned: No",V1027
"Country: India, Make: Toyota, Model: RAV4, Year: 2005, Mileage: 23.9 kmpl, Fuel: Hybrid, Gear: Manual, Horsepower: 207, Price: 56217 INR, Preowned: Yes",V1028
"Country: UK, Make: Hyundai, Model: Kona, Year: 2021, Mileage: 13.4 kmpl, Fuel: Diesel, Gear: Automatic, Horsepower: 417, Price: 72960 GBP, Preowned: Yes",V1029
"Country: UK, Make: Ford, Model: F-150 Lightning (EV), Year: 2007, Mileage: 3.1 kmpl, Fuel: EV, Gear: Manual, Horsepower: 368, Price: 74489 GBP, Preowned: Yes",V1030
"Country: France, Make: Ford, Model: F-150 Lightning (EV), Year: 2007, Mileage: 4.4 kmpl, Fuel: EV, Gear: Automatic, Horsepower: 381, Price: 75976 EUR, Preowned: No",V1031
"Country: India, Make: Hyundai, Model: Sonata, Year: 2017, Mileage: 6.8 kmpl, Fuel: Diesel, Gear: Automatic, Horsepower: 260, Price: 64254 INR, Preowned: No",V1032
"Country: India, Make: Ford, Model: Focus, Year: 2012, Mileage: 4.3 kmpl, Fuel: EV, Gear: Automatic, Horsepower: 425, Price: 58364 INR, Preowned: No",V1033
"Country: USA, Make: Ford, Model: Fusion, Year: 2009, Mileage: 5.2 kmpl, Fuel: EV, Gear: Automatic, Horsepower: 264, Price: 42789 USD, Preowned: Yes",V1034
"Country: India, Make: Ford, Model: F-150 Lightning (EV), Year: 2010, Mileage: 3.2 kmpl, Fuel: EV, Gear: Manual, Horsepower: 419, Price: 71487 INR, Preowned: No",V1035
