Vehicle ID,Country,Make,Model,Year,Mileage,Fuel,Gear Type,Horsepower,Price,Currency,Preowned,Inserted Date,Summary
V4000,Austria,Honda,Hatchback,2016,20 kmpl,EV,Manual,166,4589,Euro,No,2024-12-24,"Country: Austria, Make: Honda, Model: Hatchback, Year: 2016, Mileage: 20 kmpl, Fuel: EV, Gear: Manual, Horsepower: 166, Price: 4589 Euro, Preowned: No, Inserted: 2024-12-24"
V4001,Lebanon,Hyundai,Sedan,2010,18 kmpl,Diesel,Automatic,159,2882,USD,Yes,2023-02-16,"Country: Lebanon, Make: Hyundai, Model: Sedan, Year: 2010, Mileage: 18 kmpl, Fuel: Diesel, Gear: Automatic, Horsepower: 159, Price: 2882 USD, Preowned: Yes, Inserted: 2023-02-16"
V4002,Bouvet Island (Bouvetoya),Honda,SUV,2025,20 kmpl,Diesel,Manual,132,1158,USD,No,2024-04-13,"Country: Bouvet Island (Bouvetoya), Make: Honda, Model: SUV, Year: 2025, Mileage: 20 kmpl, Fuel: Diesel, Gear: Manual, Horsepower: 132, Price: 1158 USD, Preowned: No, Inserted: 2024-04-13"
V4003,Holy See (Vatican City State),Maruti Suzuki,Hatchback,2015,20 kmpl,Diesel,Manual,131,1850,Euro,Yes,2023-10-11,"Country: Holy See (Vatican City State), Make: Maruti Suzuki, Model: Hatchback, Year: 2015, Mileage: 20 kmpl, Fuel: Diesel, Gear: Manual, Horsepower: 131, Price: 1850 Euro, Preowned: Yes, Inserted: 2023-10-11"
V4004,Mongolia,Toyota,SUV,2015,22 kmpl,EV,Automatic,216,2260,USD,Yes,2022-05-18,"Country: Mongolia, Make: Toyota, Model: SUV, Year: 2015, Mileage: 22 kmpl, Fuel: EV, Gear: Automatic, Horsepower: 216, Price: 2260 USD, Preowned: Yes, Inserted: 2022-05-18"
V4005,Azerbaijan,Mahindra,Sedan,2018,17 kmpl,EV,Automatic,190,4441,Euro,No,2022-08-06,"Country: Azerbaijan, Make: Mahindra, Model: Sedan, Year: 2018, Mileage: 17 kmpl, Fuel: EV, Gear: Automatic, Horsepower: 190, Price: 4441 Euro, Preowned: No, Inserted: 2022-08-06"
V4006,Puerto Rico,Hyundai,Sedan,2012,19 kmpl,Diesel,Manual,143,1506,Euro,Yes,2023-05-15,"Country: Puerto Rico, Make: Hyundai, Model: Sedan, Year: 2012, Mileage: 19 kmpl, Fuel: Diesel, Gear: Manual, Horsepower: 143, Price: 1506 Euro, Preowned: Yes, Inserted: 2023-05-15"
V4007,Gabon,Mahindra,SUV,2020,19 kmpl,EV,Automatic,188,4721,USD,No,2022-06-05,"Country: Gabon, Make: Mahindra, Model: SUV, Year: 2020, Mileage: 19 kmpl, Fuel: EV, Gear: Automatic, Horsepower: 188, Price: 4721 USD, Preowned: No, Inserted: 2022-06-05"
V4008,Anguilla,Mahindra,Hatchback,2017,25 kmpl,Diesel,Manual,173,3353,USD,No,2022-10-25,"Country: Anguilla, Make: Mahindra, Model: Hatchback, Year: 2017, Mileage: 25 kmpl, Fuel: Diesel, Gear: Manual, Horsepower: 173, Price: 3353 USD, Preowned: No, Inserted: 2022-10-25"
V4009,Mauritania,Volkswagen,Hatchback,2018,17 kmpl,EV,Manual,95,3988,Euro,No,2022-08-01,"Country: Mauritania, Make: Volkswagen, Model: Hatchback, Year: 2018, Mileage: 17 kmpl, Fuel: EV, Gear: Manual, Horsepower: 95, Price: 3988 Euro, Preowned: No, Inserted: 2022-08-01"
V4010,Syrian Arab Republic,Volkswagen,SUV,2024,19 kmpl,Diesel,Automatic,124,1236,Euro,Yes,2022-09-17,"Country: Syrian Arab Republic, Make: Volkswagen, Model: SUV, Year: 2024, Mileage: 19 kmpl, Fuel: Diesel, Gear: Automatic, Horsepower: 124, Price: 1236 Euro, Preowned: Yes, Inserted: 2022-09-17"
V4011,Pakistan,Honda,Hatchback,2020,25 kmpl,Diesel,Automatic,110,3570,USD,Yes,2024-08-25,"Country: Pakistan, Make: Honda, Model: Hatchback, Year: 2020, Mileage: 25 kmpl, Fuel: Diesel, Gear: Automatic, Horsepower: 110, Price: 3570 USD, Preowned: Yes, Inserted: 2024-08-25"
V4012,Greece,Tata Motors,Hatchback,2010,25 kmpl,Diesel,Manual,188,2335,USD,No,2022-12-19,"Country: Greece, Make: Tata Motors, Model: Hatchback, Year: 2010, Mileage: 25 kmpl, Fuel: Diesel, Gear: Manual, Horsepower: 188, Price: 2335 USD, Preowned: No, Inserted: 2022-12-19"
V4013,Guadeloupe,Volkswagen,Hatchback,2015,18 kmpl,Petrol,Manual,117,3356,Euro,Yes,2023-01-09,"Country: Guadeloupe, Make: Volkswagen, Model: Hatchback, Year: 2015, Mileage: 18 kmpl, Fuel: Petrol, Gear: Manual, Horsepower: 117, Price: 3356 Euro, Preowned: Yes, Inserted: 2023-01-09"
V4014,Belgium,Toyota,Sedan,2015,19 kmpl,Diesel,Manual,181,1271,USD,No,2022-01-29,"Country: Belgium, Make: Toyota, Model: Sedan, Year: 2015, Mileage: 19 kmpl, Fuel: Diesel, Gear: Manual, Horsepower: 181, Price: 1271 USD, Preowned: No, Inserted: 2022-01-29"
V4015,Thailand,Tata Motors,Sedan,2015,18 kmpl,Petrol,Manual,187,3875,Euro,No,2024-10-03,"Country: Thailand, Make: Tata Motors, Model: Sedan, Year: 2015, Mileage: 18 kmpl, Fuel: Petrol, Gear: Manual, Horsepower: 187, Price: 3875 Euro, Preowned: No, Inserted: 2024-10-03"
V4016,Israel,Tata Motors,SUV,2022,25 kmpl,Diesel,Automatic,173,2990,Euro,No,2022-03-19,"Country: Israel, Make: Tata Motors, Model: SUV, Year: 2022, Mileage: 25 kmpl, Fuel: Diesel, Gear: Automatic, Horsepower: 173, Price: 2990 Euro, Preowned: No, Inserted: 2022-03-19"
V4017,Hungary,Tata Motors,Sedan,2025,24 kmpl,EV,Automatic,212,1152,USD,No,2023-12-17,"Country: Hungary, Make: Tata Motors, Model: Sedan, Year: 2025, Mileage: 24 kmpl, Fuel: EV, Gear: Automatic, Horsepower: 212, Price: 1152 USD, Preowned: No, Inserted: 2023-12-17"
V4018,Anguilla,Tata Motors,Sedan,2010,23 kmpl,EV,Manual,128,3827,USD,No,2024-10-12,"Country: Anguilla, Make: Tata Motors, Model: Sedan, Year: 2010, Mileage: 23 kmpl, Fuel: EV, Gear: Manual, Horsepower: 128, Price: 3827 USD, Preowned: No, Inserted: 2024-10-12"
V4019,Denmark,Mahindra,Hatchback,2024,20 kmpl,EV,Automatic,205,3323,USD,Yes,2023-05-12,"Country: Denmark, Make: Mahindra, Model: Hatchback, Year: 2024, Mileage: 20 kmpl, Fuel: EV, Gear: Automatic, Horsepower: 205, Price: 3323 USD, Preowned: Yes, Inserted: 2023-05-12"
V4020,Haiti,Mahindra,Hatchback,2017,22 kmpl,Petrol,Automatic,139,2484,USD,No,2022-09-26,"Country: Haiti, Make: Mahindra, Model: Hatchback, Year: 2017, Mileage: 22 kmpl, Fuel: Petrol, Gear: Automatic, Horsepower: 139, Price: 2484 USD, Preowned: No, Inserted: 2022-09-26"
V4021,Iceland,Toyota,Sedan,2017,23 kmpl,Petrol,Automatic,90,4514,USD,No,2022-01-05,"Country: Iceland, Make: Toyota, Model: Sedan, Year: 2017, Mileage: 23 kmpl, Fuel: Petrol, Gear: Automatic, Horsepower: 90, Price: 4514 USD, Preowned: No, Inserted: 2022-01-05"
V4022,Philippines,Volkswagen,SUV,2022,22 kmpl,Diesel,Manual,214,2213,USD,Yes,2025-02-23,"Country: Philippines, Make: Volkswagen, Model: SUV, Year: 2022, Mileage: 22 kmpl, Fuel: Diesel, Gear: Manual, Horsepower: 214, Price: 2213 USD, Preowned: Yes, Inserted: 2025-02-23"
V4023,Myanmar,Honda,Hatchback,2025,21 kmpl,Diesel,Manual,122,2252,USD,Yes,2022-10-18,"Country: Myanmar, Make: Honda, Model: Hatchback, Year: 2025, Mileage: 21 kmpl, Fuel: Diesel, Gear: Manual, Horsepower: 122, Price: 2252 USD, Preowned: Yes, Inserted: 2022-10-18"
V4024,Spain,Tata Motors,Hatchback,2020,23 kmpl,Petrol,Automatic,84,4093,Euro,No,2023-12-19,"Country: Spain, Make: Tata Motors, Model: Hatchback, Year: 2020, Mileage: 23 kmpl, Fuel: Petrol, Gear: Automatic, Horsepower: 84, Price: 4093 Euro, Preowned: No, Inserted: 2023-12-19"
V4025,Morocco,Hyundai,Hatchback,2020,25 kmpl,EV,Manual,190,2723,USD,Yes,2025-05-28,"Country: Morocco, Make: Hyundai, Model: Hatchback, Year: 2020, Mileage: 25 kmpl, Fuel: EV, Gear: Manual, Horsepower: 190, Price: 2723 USD, Preowned: Yes, Inserted: 2025-05-28"
V4026,Aruba,Volkswagen,SUV,2012,18 kmpl,Diesel,Manual,178,2540,USD,No,2024-05-04,"Country: Aruba, Make: Volkswagen, Model: SUV, Year: 2012, Mileage: 18 kmpl, Fuel: Diesel, Gear: Manual, Horsepower: 178, Price: 2540 USD, Preowned: No, Inserted: 2024-05-04"
V4027,Bulgaria,Tata Motors,Sedan,2020,23 kmpl,Petrol,Manual,148,3826,USD,Yes,2025-04-18,"Country: Bulgaria, Make: Tata Motors, Model: Sedan, Year: 2020, Mileage: 23 kmpl, Fuel: Petrol, Gear: Manual, Horsepower: 148, Price: 3826 USD, Preowned: Yes, Inserted: 2025-04-18"
V4028,Lithuania,Volkswagen,Hatchback,2022,17 kmpl,Diesel,Automatic,197,1008,USD,Yes,2023-11-22,"Country: Lithuania, Make: Volkswagen, Model: Hatchback, Year: 2022, Mileage: 17 kmpl, Fuel: Diesel, Gear: Automatic, Horsepower: 197, Price: 1008 USD, Preowned: Yes, Inserted: 2023-11-22"
V4029,Denmark,Honda,SUV,2012,22 kmpl,Petrol,Automatic,138,1410,Euro,Yes,2024-04-29,"Country: Denmark, Make: Honda, Model: SUV, Year: 2012, Mileage: 22 kmpl, Fuel: Petrol, Gear: Automatic, Horsepower: 138, Price: 1410 Euro, Preowned: Yes, Inserted: 2024-04-29"
V4030,Lebanon,Hyundai,SUV,2024,25 kmpl,Diesel,Manual,208,1572,USD,No,2023-02-16,"Country: Lebanon, Make: Hyundai, Model: SUV, Year: 2024, Mileage: 25 kmpl, Fuel: Diesel, Gear: Manual, Horsepower: 208, Price: 1572 USD, Preowned: No, Inserted: 2023-02-16"
V4031,India,Honda,Hatchback,2010,21 kmpl,Diesel,Automatic,205,1327,USD,Yes,2022-02-10,"Country: India, Make: Honda, Model: Hatchback, Year: 2010, Mileage: 21 kmpl, Fuel: Diesel, Gear: Automatic, Horsepower: 205, Price: 1327 USD, Preowned: Yes, Inserted: 2022-02-10"
V4032,Bermuda,Toyota,Sedan,2012,23 kmpl,EV,Manual,181,4342,USD,No,2023-03-31,"Country: Bermuda, Make: Toyota, Model: Sedan, Year: 2012, Mileage: 23 kmpl, Fuel: EV, Gear: Manual, Horsepower: 181, Price: 4342 USD, Preowned: No, Inserted: 2023-03-31"
V4033,Estonia,Honda,SUV,2014,19 kmpl,Petrol,Manual,183,1768,Euro,No,2023-12-24,"Country: Estonia, Make: Honda, Model: SUV, Year: 2014, Mileage: 19 kmpl, Fuel: Petrol, Gear: Manual, Horsepower: 183, Price: 1768 Euro, Preowned: No, Inserted: 2023-12-24"
V4034,Slovakia (Slovak Republic),Hyundai,Hatchback,2017,18 kmpl,Diesel,Automatic,205,1174,Euro,Yes,2024-02-22,"Country: Slovakia (Slovak Republic), Make: Hyundai, Model: Hatchback, Year: 2017, Mileage: 18 kmpl, Fuel: Diesel, Gear: Automatic, Horsepower: 205, Price: 1174 Euro, Preowned: Yes, Inserted: 2024-02-22"
