Vehicle ID,Country,Make,Model,Year,Mileage,Fuel,Gear Type,Horsepower,Price,Currency,Preowned,Inserted Date,Summary
V1000,India,Nissan,Leaf (EV),2018,5.8,EV,Manual,349,61334,INR,Yes,2024-02-19,"Country: India, Make: Nissan, Model: Leaf (EV), Year: 2018, Mileage: 5.8 kmpl, Fuel: EV, Gear: Manual, Horsepower: 349, Price: 61334 INR, Preowned: Yes"
V1001,UK,Honda,CR-V,2024,7.0,Diesel,Manual,241,45429,GBP,No,2024-07-07,"Country: UK, Make: Honda, Model: CR-V, Year: 2024, Mileage: 7.0 kmpl, Fuel: Diesel, Gear: Manual, Horsepower: 241, Price: 45429 GBP, Preowned: No"
V1002,India,Hyundai,Ioniq 5 (EV),2020,7.3,EV,Manual,453,25776,INR,No,2024-03-04,"Country: India, Make: Hyundai, Model: Ioniq 5 (EV), Year: 2020, Mileage: 7.3 kmpl, Fuel: EV, Gear: Manual, Horsepower: 453, Price: 25776 INR, Preowned: No"
V1003,USA,Honda,Civic,2014,13.0,Diesel,Automatic,431,33607,USD,Yes,2023-10-16,"Country: USA, Make: Honda, Model: Civic, Year: 2014, Mileage: 13.0 kmpl, Fuel: Diesel, Gear: Automatic, Horsepower: 431, Price: 33607 USD, Preowned: Yes"
V1004,UK,Volkswagen,Tiguan,2009,4.3,EV,Manual,292,31668,GBP,No,2025-05-13,"Country: UK, Make: Volkswagen, Model: Tiguan, Year: 2009, Mileage: 4.3 kmpl, Fuel: EV, Gear: Manual, Horsepower: 292, Price: 31668 GBP, Preowned: No"
V1005,France,Honda,Civic,2006,3.4,EV,Automatic,400,72152,EUR,No,2024-04-27,"Country: France, Make: Honda, Model: Civic, Year: 2006, Mileage: 3.4 kmpl, Fuel: EV, Gear: Automatic, Horsepower: 400, Price: 72152 EUR, Preowned: No"
V1006,France,Hyundai,Sonata,2018,3.2,EV,Automatic,566,62260,EUR,No,2025-01-04,"Country: France, Make: Hyundai, Model: Sonata, Year: 2018, Mileage: 3.2 kmpl, Fuel: EV, Gear: Automatic, Horsepower: 566, Price: 62260 EUR, Preowned: No"
V1007,UK,Volkswagen,Golf,2007,10.1,Hybrid,Automatic,122,73552,GBP,No,2024-02-11,"Country: UK, Make: Volkswagen, Model: Golf, Year: 2007, Mileage: 10.1 kmpl, Fuel: Hybrid, Gear: Automatic, Horsepower: 122, Price: 73552 GBP, Preowned: No"
V1008,India,Volkswagen,Golf,2016,9.6,Diesel,Manual,436,32759,INR,No,2024-01-01,"Country: India, Make: Volkswagen, Model: Golf, Year: 2016, Mileage: 9.6 kmpl, Fuel: Diesel, Gear: Manual, Horsepower: 436, Price: 32759 INR, Preowned: No"
V1009,France,Volkswagen,Tiguan,2016,5.3,Diesel,Automatic,354,46638,EUR,Yes,2023-12-04,"Country: France, Make: Volkswagen, Model: Tiguan, Year: 2016, Mileage: 5.3 kmpl, Fuel: Diesel, Gear: Automatic, Horsepower: 354, Price: 46638 EUR, Preowned: Yes"
